date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:41	34476/34476	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:01:07%20GMT	http://zwin.io/html/viaje/assets/img/gallery/19.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/gallery/19.png	(from http://zwin.io/html/viaje/gallery.html)
12:24:52	556956/556956	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:01:47%20GMT	http://zwin.io/html/viaje/assets/img/others/2.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/others/2.png	(from http://zwin.io/html/viaje/destination-details.html)
12:25:00	113883/113883	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:01:09%20GMT	http://zwin.io/html/viaje/assets/img/gallery/3.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/gallery/3.png	(from http://zwin.io/html/viaje/gallery-details.html)
12:25:00	126992/126992	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:01:09%20GMT	http://zwin.io/html/viaje/assets/img/gallery/2.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/gallery/2.png	(from http://zwin.io/html/viaje/gallery-details.html)
12:25:04	76811/76811	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:01:10%20GMT	http://zwin.io/html/viaje/assets/img/gallery/4.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/gallery/4.png	(from http://zwin.io/html/viaje/gallery-details.html)
12:25:08	191681/191681	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:01:01%20GMT	http://zwin.io/html/viaje/assets/img/gallery/1.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/gallery/1.png	(from http://zwin.io/html/viaje/gallery-details.html)
12:25:08	1545/1545	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Mar%202020%2013:59:11%20GMT	http://zwin.io/html/viaje/assets/js/countdown.js	D:/project/Travelss/zwin.io/html/viaje/assets/js/countdown.js	(from http://zwin.io/html/viaje/comming-soon.html)
12:25:11	12751/12751	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2013:59:50%20GMT	http://zwin.io/html/viaje/assets/img/bg/6.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/bg/6.png	(from http://zwin.io/html/viaje/404.html)
12:25:18	112250/112250	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:01:14%20GMT	http://zwin.io/html/viaje/assets/img/gallery/7.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/gallery/7.png	(from http://zwin.io/html/viaje/gallery-details.html)
12:25:19	3896/3896	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:01:44%20GMT	http://zwin.io/html/viaje/assets/img/others/16.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/others/16.png	(from http://zwin.io/html/viaje/user-profile.html)
12:25:23	150041/150041	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:01:13%20GMT	http://zwin.io/html/viaje/assets/img/gallery/6.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/gallery/6.png	(from http://zwin.io/html/viaje/gallery-details.html)
12:25:29	106008/106008	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:01:42%20GMT	http://zwin.io/html/viaje/assets/img/others/12.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/others/12.png	(from http://zwin.io/html/viaje/faq.html)
12:25:35	71766/71766	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:04%20GMT	http://zwin.io/html/viaje/assets/img/blog/5.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog/5.png	(from http://zwin.io/html/viaje/blog.html)
12:25:35	98787/98787	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:03%20GMT	http://zwin.io/html/viaje/assets/img/blog/4.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog/4.png	(from http://zwin.io/html/viaje/blog.html)
12:25:37	4591/4591	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:12%20GMT	http://zwin.io/html/viaje/assets/img/blog-details/12.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog-details/12.png	(from http://zwin.io/html/viaje/blog.html)
12:25:39	6685/6685	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:13%20GMT	http://zwin.io/html/viaje/assets/img/blog-details/13.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog-details/13.png	(from http://zwin.io/html/viaje/blog.html)
12:25:40	5272/5272	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:13%20GMT	http://zwin.io/html/viaje/assets/img/blog-details/14.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog-details/14.png	(from http://zwin.io/html/viaje/blog.html)
12:25:41	4814/4814	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:14%20GMT	http://zwin.io/html/viaje/assets/img/blog-details/15.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog-details/15.png	(from http://zwin.io/html/viaje/blog.html)
12:25:45	106163/106163	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:05%20GMT	http://zwin.io/html/viaje/assets/img/blog/6.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog/6.png	(from http://zwin.io/html/viaje/blog.html)
12:25:49	87759/87759	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:05%20GMT	http://zwin.io/html/viaje/assets/img/blog/7.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog/7.png	(from http://zwin.io/html/viaje/blog.html)
12:25:56	62468/62468	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:15%20GMT	http://zwin.io/html/viaje/assets/img/blog-details/2.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog-details/2.png	(from http://zwin.io/html/viaje/blog-details.html)
12:25:56	39440/39440	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:15%20GMT	http://zwin.io/html/viaje/assets/img/blog-details/3.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog-details/3.png	(from http://zwin.io/html/viaje/blog-details.html)
12:26:03	37442/37442	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:16%20GMT	http://zwin.io/html/viaje/assets/img/blog-details/5.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog-details/5.png	(from http://zwin.io/html/viaje/blog-details.html)
12:26:06	62007/62007	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:16%20GMT	http://zwin.io/html/viaje/assets/img/blog-details/4.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog-details/4.png	(from http://zwin.io/html/viaje/blog-details.html)
12:26:11	46569/46569	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:17%20GMT	http://zwin.io/html/viaje/assets/img/blog-details/6.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog-details/6.png	(from http://zwin.io/html/viaje/blog-details.html)
